Strategy;Information;Plans;Shopping;Inventory;Transportation and distribution;Performance;Integration level
5;5;5;5;5;4.5;5;4.83
5;5;5;5;4;4;4.5;4.55
4;4;5;2.5;1;1;2;2.73
5;5;5;4.5;5;5;4;4.69
4.5;3;5;4;1;2;2;3.01
5;2;5;3;2;1.5;2.5;2.94
4;3;4;3;1;3;2;2.8
5;4;5;1;1;1;4;2.94
5;4;5;4;1;1.5;3;3.29
4;4;4;1;1;1;2.5;2.45
4;3;3;1;1;1;2;2.1
4;2;4;1;1;1;2.5;2.17
3;3;3.5;1;1;1;1.5;1.96
3;2;3;1;1;1;2;1.82
4;3;5;1;1;1;2.5;2.45
4;3;5;1;1;1;2.5;2.45
3.5;4;2;1;1;1;2;2.03
4;4;4;1;1;1;2;2.38
5;3;5;1;1;1;2.5;2.59
3;3;3;1;1;1;1.5;1.89
5;4;5;1;1;1;2.5;2.73
5;3;4.5;1;1;1;2.5;2.52
5;3;4.5;1;1;1;2.5;2.52
5;2;5;1;1;1;2.5;2.45
5;2;5;1;1;1;2.5;2.45
5;2;5;1;1;1;2.5;2.45
5;2;5;1;1;1;2.5;2.45
5;2;5;1;1;1;2.5;2.45
5;1;5;1;1;1;2.5;2.31
5;1;5;1;1;1;2.5;2.31
5;1;5;1;1;1;2.5;2.31
5;1;5;1;1;1;3;2.38
5;1;5;1;1;1;3;2.38
4;2;2.5;1;1;1;2.5;1.96
5;5;4.5;3.5;1;2;5;3.64
5;5;4.5;2.5;1;1;5;3.36
5;5;5;3;1;2;4.5;3.57
3.5;1;4;1;1;1;3;2.03
4;4;3.5;3;1;1;1.5;2.52
5;2;4;1;1;1;4.5;2.59
4.5;2;3.5;1;1;1;4;2.38
4;3;3.5;1;1;2;3;2.45
4;2;4;1;1;1;2.5;2.17
4;4;4;1;1;2;3;2.66
4;2;4;1;1;1;2.5;2.17
4;4;4;1;1;1;2.5;2.45
5;5;4;2;1;1.5;3;3.01
4;2;4.5;1;1;1;2.5;2.24
3;4;3.5;1;1;1;3;2.31
4;2;4;1;1;1;3;2.24
4.5;2;5;1;1;1;3;2.45
3;4;3.5;1;1;1;2;2.17
4.5;2;4;1;1;1;3;2.31
4;5;4;1;1;1;2;2.52
5;5;5;4.5;4;4;5;4.55
4;1;4;1;1;1;4;2.24
5;5;5;4;3;3;5;4.2
5;5;5;3;3;4;3;3.92
5;5;5;2.5;2;1.5;3;3.36
5;3;5;2;2;1;2;2.8
4;2;4.5;1.5;1;1;3.5;2.45
5;5;5;1;1;1;2;2.8
5;5;5;1;1;1;2.5;2.87
4;2;5;1.5;1;1;1.5;2.24
5;5;5;5;5;3;5;4.62
5;4;5;3;3;2.5;4.5;3.78
4.5;5;5;1;1;1;1.5;2.66
